                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 1.2583,                 0.8689,                0.93585,                0.38247,                0.28861,                0.27146,                0.15458,                 1.4448,                 1.1103,                 1.0697,               0.002344,               0.002344,               0.002344
                    118,                 1.2612,                0.86524,                0.93458,                0.37971,                 0.2899,                 0.2717,                0.15472,                 1.4449,                 1.1105,                 1.0697,               0.002278,               0.002278,               0.002278
                    119,                 1.2554,                0.86194,                0.93222,                0.38449,                0.28762,                0.27134,                 0.1546,                 1.4451,                 1.1108,                 1.0694,               0.002212,               0.002212,               0.002212
                    120,                 1.2587,                0.86444,                0.93588,                0.38267,                 0.2898,                0.27127,                0.15456,                 1.4452,                 1.1105,                 1.0691,               0.002146,               0.002146,               0.002146
                    121,                 1.2565,                0.86178,                0.93458,                0.38277,                0.28988,                0.27142,                0.15447,                 1.4448,                 1.1103,                 1.0687,                0.00208,                0.00208,                0.00208
                    122,                 1.2476,                0.85398,                0.93036,                0.38114,                0.29018,                0.27125,                0.15448,                 1.4448,                   1.11,                 1.0683,               0.002014,               0.002014,               0.002014
                    123,                 1.2512,                 0.8558,                 0.9316,                0.37737,                0.29144,                0.27125,                0.15445,                 1.4449,                 1.1101,                 1.0682,               0.001948,               0.001948,               0.001948
                    124,                 1.2578,                0.85524,                0.93305,                0.38073,                0.29022,                0.27083,                0.15431,                 1.4446,                 1.1096,                  1.068,               0.001882,               0.001882,               0.001882
                    125,                 1.2451,                0.84923,                0.92998,                0.37921,                0.29288,                0.27105,                0.15448,                 1.4446,                 1.1092,                 1.0679,               0.001816,               0.001816,               0.001816
                    126,                 1.2513,                0.85162,                0.93065,                0.37853,                0.29404,                0.27114,                0.15461,                 1.4442,                 1.1085,                 1.0676,                0.00175,                0.00175,                0.00175
                    127,                  1.252,                0.85317,                0.93202,                0.37657,                0.29507,                0.27134,                0.15468,                 1.4441,                 1.1082,                 1.0676,               0.001684,               0.001684,               0.001684
                    128,                 1.2403,                0.84164,                0.93037,                0.38012,                0.29342,                0.27108,                0.15451,                 1.4442,                 1.1082,                 1.0674,               0.001618,               0.001618,               0.001618
                    129,                 1.2326,                0.83622,                 0.9288,                0.38013,                0.29187,                0.27057,                0.15454,                 1.4436,                 1.1088,                 1.0673,               0.001552,               0.001552,               0.001552
                    130,                 1.2493,                0.84611,                0.93196,                0.38059,                0.29253,                0.27091,                0.15448,                 1.4433,                 1.1083,                 1.0673,               0.001486,               0.001486,               0.001486
                    131,                  1.249,                0.84884,                0.93085,                0.38243,                0.29288,                0.27094,                0.15464,                 1.4431,                 1.1079,                 1.0673,                0.00142,                0.00142,                0.00142
                    132,                 1.2399,                0.83776,                0.92901,                0.38457,                0.29138,                  0.271,                0.15451,                 1.4429,                 1.1075,                 1.0671,               0.001354,               0.001354,               0.001354
                    133,                 1.2373,                0.83245,                0.92757,                0.38298,                0.29184,                 0.2708,                 0.1545,                  1.443,                 1.1072,                 1.0671,               0.001288,               0.001288,               0.001288
                    134,                 1.2418,                0.83818,                0.92918,                 0.3856,                0.29049,                0.27085,                0.15454,                 1.4429,                 1.1072,                 1.0671,               0.001222,               0.001222,               0.001222
                    135,                 1.2429,                0.83921,                0.92775,                 0.3836,                0.29205,                0.27089,                0.15457,                 1.4429,                 1.1071,                 1.0671,               0.001156,               0.001156,               0.001156
                    136,                 1.2375,                0.83657,                0.92883,                0.38068,                0.29336,                0.27085,                0.15463,                 1.4429,                 1.1072,                 1.0673,                0.00109,                0.00109,                0.00109
                    137,                 1.2374,                0.83221,                0.92664,                0.38209,                0.29333,                0.27099,                0.15474,                 1.4429,                 1.1075,                 1.0671,               0.001024,               0.001024,               0.001024
                    138,                 1.2361,                0.83237,                0.92833,                0.38372,                0.29388,                0.27113,                0.15478,                 1.4428,                 1.1075,                  1.067,               0.000958,               0.000958,               0.000958
                    139,                 1.2298,                0.82747,                0.92794,                0.38524,                0.29424,                0.27097,                0.15472,                  1.443,                 1.1081,                 1.0672,               0.000892,               0.000892,               0.000892
                    140,                 1.2364,                0.83047,                0.92923,                0.38701,                0.29273,                0.27109,                0.15476,                 1.4431,                 1.1082,                  1.067,               0.000826,               0.000826,               0.000826
                    141,                 1.2193,                 0.8041,                0.93243,                0.38544,                0.29213,                0.27105,                0.15485,                 1.4412,                 1.1082,                 1.0667,                0.00076,                0.00076,                0.00076
                    142,                 1.2109,                 0.7937,                0.93154,                0.38597,                0.29273,                0.27078,                0.15492,                 1.4397,                 1.1082,                 1.0664,               0.000694,               0.000694,               0.000694
                    143,                 1.2055,                0.78641,                0.92746,                0.38446,                0.29229,                0.27077,                0.15489,                 1.4383,                 1.1086,                 1.0663,               0.000628,               0.000628,               0.000628
                    144,                 1.2026,                0.78393,                0.92867,                0.38414,                0.29268,                0.27086,                0.15501,                  1.437,                 1.1089,                 1.0661,               0.000562,               0.000562,               0.000562
                    145,                 1.2054,                0.78553,                0.92882,                0.38492,                0.29282,                0.27064,                0.15503,                 1.4358,                 1.1091,                  1.066,               0.000496,               0.000496,               0.000496
                    146,                 1.1978,                0.77798,                0.92691,                0.38694,                0.29205,                0.27058,                0.15505,                 1.4349,                 1.1098,                 1.0657,                0.00043,                0.00043,                0.00043
                    147,                 1.1979,                0.77881,                0.92733,                0.38615,                0.29247,                0.27042,                0.15506,                  1.434,                 1.1102,                 1.0656,               0.000364,               0.000364,               0.000364
                    148,                 1.1909,                0.77113,                0.92536,                0.38722,                0.29204,                0.27032,                 0.1551,                 1.4332,                 1.1103,                 1.0654,               0.000298,               0.000298,               0.000298
                    149,                 1.1965,                0.77486,                0.92488,                0.38655,                0.29209,                0.27039,                0.15516,                 1.4328,                 1.1105,                 1.0655,               0.000232,               0.000232,               0.000232
                    150,                 1.1938,                0.77442,                0.92775,                0.38804,                0.29067,                0.27029,                 0.1551,                 1.4322,                 1.1108,                 1.0655,               0.000166,               0.000166,               0.000166
